start_date,end_date,name,location
2024-04-23,2024-05-02,Georgia Tech Open Hackathon,Digital Event
2024-05-01,2024-05-03,End-to-End Large Language Model Bootcamp,Digital Event
2024-05-01,,Teratec,Paris France
2024-05-06,2024-05-09,RSA Conference 2024,San Francisco CA
2024-05-06,2024-05-07,EuroCC Multi-GPU Programming Bootcamp,Digital Event
2024-05-08,,Ecomotion Yearly Event,Tel Aviv Israel
2024-05-12,2024-05-16,ISC,Hamburg Germany 
2024-05-14,2024-05-16,NERSC End-to-End LLM Bootcamp,Digital Event
2024-05-21,2024-05-23,Microsoft Build  2024,Seattle WA
2024-05-21,2024-05-30,CINECA Open Hackathon,Digital Event
2024-05-22,2024-05-25,Vivatech (Viva Tecchnology),Paris France
2024-06-04,2024-06-14,Princeton Open Hackathon,Digital Event
2024-06-04,2024-06-07,Computex 2024,Taipei Taiwan
2024-06-05,2024-06-07,Poland N-Ways to GPU Programming Bootcamp,Digital Event
2024-06-17,2024-06-21,HPE Discover 2024,Las Vegas NV
2024-06-18,2024-06-20,MedtecLIVE,Stuttgart Germany  
2024-06-25,2024-06-26,EuroCC2 AI for Science Bootcamp,Digital Event
2024-06-26,,Cyber-AI Executive Meetup,Tel Aviv Israel
2024-07-09,2024-07-18,LANL Open Hackathon,Hybrid Event
2024-07-09,2024-07-18,Poland Open Hackathon,Digital Event
2024-07-28,2024-08-01,SIGGRAPH,Denver CO
2024-08-03,2024-08-08,Black Hat USA 2024,Las Vegas NV
2024-08-13,2024-08-22,NERSC Open Hackathon,Hybrid Event
2024-08-25,2024-08-27,Hot Chips 2024,Stanford CA
2024-09-10,2024-09-19,NASA Open Hackathon,Digital Event
2024-10-09,,BiotechX Europe,Switzerland
2024-10-14,,GITEX Global,Dubai UAE
2024-10-15,2024-10-24,TACC Open Hackathon,Hybrid Event
2024-11-17,2024-11-22,Supercomputing 2024,Atlanta GA
2024-04-22,2024-04-26,Hannover Messe 2024,Hannover Germany
2024-04-17,2024-04-18,AI for Science Bootcamp,Digital Event
2024-04-17,2024-04-18,DiRAC N-Ways to GPU Programming Bootcamp,Digital Event
2024-04-16,,NVIDIA-HPE TRT-LLM Enterprise Bootcamp,Digital Event
2024-04-13,2024-04-17,NAB Show 2024,Las Vegas Nevada
2024-04-09,2024-04-11,Google Cloud Next 2024,Las Vegas NV
2024-04-09,2024-04-12,ISC West,Las Vegas
2024-04-09,2024-04-11,Embedded World 2024,Nuremberg Germany
2024-03-18,2024-03-22,GDC 2024,San Francisco CA
2024-03-18,2024-03-21,NVIDIA GTC 2024,San Jose CA
2024-02-26,2024-02-29,MWC Barcelona 2024,Barcelona Spain
2024-02-19,2024-02-20,ISSCC 2024,San Francisco
2024-01-13,2024-01-16,NRF 2024,New York NY
2024-01-09,2024-01-12,CES,Las Vegas NV
2023-12-07,,The Game Awards,Los Angeles CA
2023-12-04,,ModCon,San Francisco CA
2023-11-29,2023-12-01,HPE Discover Barcelona 2023,Barcelona Spain 
2023-11-27,2023-12-01,I/ITSEC 2023,Orlando FL
2023-11-27,2023-12-01,AWS re:Invent 2023,Las Vegas NV
2023-11-15,,LLM Developer Day ,Digital Event
2023-11-15,2023-11-16,MS Ignite,Seattle WA + Online
2023-11-13,2023-11-15,Autodesk University 2023,Las Vegas NV
2023-11-12,2023-11-17,Supercomputing 2023,Denver CO
2023-11-08,,AI and Data Science Virtual Summit,Digital event
2023-11-07,2023-11-09,Smart City Expo World Congress (SCEWC),Barcelona Spain
2023-11-03,2023-11-04,BlizzCon 2023,Anaheim CA
2023-10-25,2023-10-26,Healthcare: Techbio Roadshow (EMEA),Munich Germany 
2023-10-23,2023-10-24,Healthcare: Techbio Roadshow (EMEA),Paris France
2023-10-23,2023-10-25,NetApp Insight,Las Vegas NV
2023-10-22,2023-10-25,Money 20/20,Las Vegas NV
2023-10-18,2023-10-19,Healthcare: Techbio Roadshow (EMEA),London England
2023-10-18,2023-10-20,RosCon,New Orleans LA
2023-10-16,2023-10-20,GITEX Global,Dubai UAE
2023-10-10,2023-10-12,AdobeMAX 2023,Los Angeles CA
2023-09-26,2023-10-06,NSM Open Hackathon,Bangalore India
2023-09-19,,Genomics England Research Summit ,London England
2023-09-18,2023-09-21,Oracle Cloud World 2023,Las Vegas NV
2023-09-18,2023-09-22,CSCS Open Hackathon,Lugano Switzerland
2023-09-15,2023-09-18,IBC,Amsterdam Netherlands
2023-09-12,2023-09-21,NASA Open Hackathon,Digital Event
2023-09-05,2023-09-10,IAA Mobility,Munich Germany
2023-08-27,2023-08-29,Hot Chips 2023,Stanford CA
2023-08-23,2023-08-27,Gamescom,Cologne Germany 
2023-08-21,2023-08-24,VMware Explore,Las Vegas NV
